Реестр образовательных программ и соответствующая им структура учебных групп факультета "АК" МГТУ им. Н.Э. Баумана
Кафедра "АК-1"
Группа | ОКСО | Специализация | Квалификация 
ИБМ4-31 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ4-41 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ4-51 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ4-61 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ4-71 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ4-81 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ4-111 | 080507 - Менеджмент организации | 46 - Информационные технологии управления | 65 - Менеджер
ИБМ4-121 | 080507 - Менеджмент организации | 46 - Информационные технологии управления | 65 - Менеджер
Кафедра "ИБМ-5"
Группа | ОКСО | Специализация | Квалификация 
ИБМ5-11 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ5-21 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ5-31 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ5-41 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ5-51 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ5-61 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ5-71 | 080502 - Экономика и управление на предприятии (по отраслям) | 26 - Управление финансовыми потоками на основе информационных технологий | 65 - Экономист-менеджер
ИБМ5-72 | 080502 - Экономика и управление на предприятии (по отраслям) | 08 - Управление финансами на предприятии | 65 - Экономист-менеджер
ИБМ5-81 | 080502 - Экономика и управление на предприятии (по отраслям) | 26 - Управление финансовыми потоками на основе информационных технологий | 65 - Экономист-менеджер
ИБМ5-82 | 080502 - Экономика и управление на предприятии (по отраслям) | 08 - Управление финансами на предприятии | 65 - Экономист-менеджер
ИБМ5-91 | 080502 - Экономика и управление на предприятии (по отраслям) | 26 - Управление финансовыми потоками на основе информационных технологий | 65 - Экономист-менеджер
ИБМ5-92 | 080502 - Экономика и управление на предприятии (по отраслям) | 08 - Управление финансами на предприятии | 65 - Экономист-менеджер
ИБМ5-101 | 080502 - Экономика и управление на предприятии (по отраслям) | 26 - Управление финансовыми потоками на основе информационных технологий | 65 - Экономист-менеджер
ИБМ5-102 | 080502 - Экономика и управление на предприятии (по отраслям) | 08 - Управление финансами на предприятии | 65 - Экономист-менеджер
ИБМ5-111 | 080502 - Экономика и управление на предприятии (по отраслям) | 26 - Управление финансовыми потоками на основе информационных технологий | 65 - Экономист-менеджер
ИБМ5-112 | 080502 - Экономика и управление на предприятии (по отраслям) | 08 - Управление финансами на предприятии | 65 - Экономист-менеджер
ИБМ5-121 | 080502 - Экономика и управление на предприятии (по отраслям) | 26 - Управление финансовыми потоками на основе информационных технологий | 65 - Экономист-менеджер
ИБМ5-122 | 080502 - Экономика и управление на предприятии (по отраслям) | 08 - Управление финансами на предприятии | 65 - Экономист-менеджер
Кафедра "ИБМ-6"
Группа | ОКСО | Специализация | Квалификация 
ИБМ6-11 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ6-21 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ6-31 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ6-41 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ6-51 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ6-61 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ6-71 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ6-81 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ6-91 | 080502 - Экономика и управление на предприятии (по отраслям) | 03 - Организация предпринимательской деятельности | 65 - Экономист-менеджер
ИБМ6-101 | 080502 - Экономика и управление на предприятии (по отраслям) | 03 - Организация предпринимательской деятельности | 65 - Экономист-менеджер
ИБМ6-111 | 080502 - Экономика и управление на предприятии (по отраслям) | 03 - Организация предпринимательской деятельности | 65 - Экономист-менеджер
ИБМ6-121 | 080502 - Экономика и управление на предприятии (по отраслям) | 03 - Организация предпринимательской деятельности | 65 - Экономист-менеджер
Декан факультета "ИБМ" Омельченко И.Н. _________________________
Реестр образовательных программ и соответствующая им структура учебных групп факультета "ИУ" МГТУ им. Н.Э. Баумана
Кафедра "ИУ-1"
Группа | ОКСО | Специализация | Квалификация 
ИУ1-11 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-12 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-21 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-22 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-31 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-32 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-41 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-42 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-51 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-52 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-61 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-62 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-71 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-72 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-81 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-82 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
ИУ1-91 | 160403 - Системы управления летательными аппаратами | 02 - Системы  управления космических летательных аппаратов | 65 - Инженер
ИУ1-92 | 160403 - Системы управления летательными аппаратами | 03 - Системы  управления ракет | 65 - Инженер
ИУ1-93 | 160403 - Системы управления летательными аппаратами | 10 - Программное обеспечение систем управления лета-тельными аппаратами | 65 - Инженер
ИУ1-94 | 220200 - Автоматизация и управление | 05 -  | 68 - Магистр техники и технологии
ИУ1-101 | 160403 - Системы управления летательными аппаратами | 02 - Системы  управления космических летательных аппаратов | 65 - Инженер
ИУ1-102 | 160403 - Системы управления летательными аппаратами | 03 - Системы  управления ракет | 65 - Инженер
ИУ1-103 | 160403 - Системы управления летательными аппаратами | 10 - Программное обеспечение систем управления лета-тельными аппаратами | 65 - Инженер
